S,Q,Std,X,R,V,W
2,50,10,60,46.5625,"60,40,0,0","0.5,0.5,0,0"
2,55,15,70,66.5625,"40,70,0,0","0.5,0.5,0,0"
2,45,15,30,32.5,"30,60,0,0","0.5,0.5,0,0"
2,45,5,40,43.4375,"40,50,0,0","0.5,0.5,0,0"
2,50,20,70,65,"30,70,0,0","0.5,0.5,0,0"
2,45,5,50,59.6875,"40,50,0,0","0.5,0.5,0,0"
2,50,10,60,71.5625,"60,40,0,0","0.5,0.5,0,0"
2,50,0,50,65.3125,"50,0,0,0","1,0,0,0"
2,30,0,30,24.0625,"30,0,0,0","1,0,0,0"
2,55,5,50,47.5,"50,60,0,0","0.5,0.5,0,0"
2,50,10,40,36.875,"60,40,0,0","0.5,0.5,0,0"
2,40,0,40,30.9375,"40,0,0,0","1,0,0,0"
2,55,5,60,58.125,"50,60,0,0","0.5,0.5,0,0"
2,60,0,60,48.4375,"60,0,0,0","1,0,0,0"
2,55,15,70,57.1875,"40,70,0,0","0.5,0.5,0,0"
2,55,15,40,57.8125,"40,70,0,0","0.5,0.5,0,0"
2,50,20,30,15.625,"30,70,0,0","0.5,0.5,0,0"
2,50,10,40,53.125,"60,40,0,0","0.5,0.5,0,0"
2,40,0,40,37.5,"40,0,0,0","1,0,0,0"
2,55,15,70,64.0625,"40,70,0,0","0.5,0.5,0,0"
2,45,15,30,47.1875,"30,60,0,0","0.5,0.5,0,0"
2,55,5,60,63.125,"50,60,0,0","0.5,0.5,0,0"
2,45,15,60,52.5,"30,60,0,0","0.5,0.5,0,0"
2,55,5,50,27.5,"50,60,0,0","0.5,0.5,0,0"
2,50,10,60,68.4375,"60,40,0,0","0.5,0.5,0,0"
2,55,15,40,29.6875,"40,70,0,0","0.5,0.5,0,0"
2,60,0,60,37.1875,"60,0,0,0","1,0,0,0"
2,30,0,30,29.0625,"30,0,0,0","1,0,0,0"
2,50,0,50,50,"50,0,0,0","1,0,0,0"
2,50,20,70,48.125,"30,70,0,0","0.5,0.5,0,0"
2,50,20,30,15,"30,70,0,0","0.5,0.5,0,0"
2,45,5,50,35.3125,"40,50,0,0","0.5,0.5,0,0"
2,45,5,40,26.25,"40,50,0,0","0.5,0.5,0,0"
